reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,scraped_at
c5de7d25-db91-4088-b575-32040d2f3fc3,Sam Hatcher,https://play-lh.googleusercontent.com/a-/ALV-UjWo3R2Vv8vdXuDtYlbOXcF5JSg-Zj_SP-LtbPdEcOOWcT6VHsC-Mg,"I usually love Spotify, I even have premium, but recently it has been SO testy when I try to open it. Sometimes it will work fine, but most of the time it just opens to a black screen and no matter if I reset the app, or even my phone, nothing really helps it. When it does this, if it eventually opens, everything is incredibly slow to load. I'm very disappointed.",1,209,9.0.40.391,2025-05-06 11:36:58,"Hi. Have you tried a quick reinstall? If that doesn't help, we'd recommend reaching out to our Customer Service at support.spotify.com. Just search “Contact Us”, and they'll be happy to help.",2025-05-06 12:26:01,9.0.40.391,2025-05-15 16:00:51
f815a6b1-a059-498c-ae9e-8bdd1133d40c,Moth,https://play-lh.googleusercontent.com/a-/ALV-UjWgqkhkzTw08zWNbb8itP83nOQboBNYf4O21BBPh7OkFSwRixY,"I love spotify! It's super easy. I will say that it's not good unless you have premium though. My my first request is that a long time ago on desktop you could see when the song was added on collaborative playlists, and that has been removed, could you add that back? The next request is that on collaborative playlists, the collaborators should be able to edit the playlist cover and order of the songs. That's is, great app!",5,31,9.0.36.697,2025-04-30 09:44:15,,,9.0.36.697,2025-05-15 16:00:51
963b90a4-7e44-48ff-9ed2-95e79dd56ad9,Author PG Badzey,https://play-lh.googleusercontent.com/a/ACg8ocJTC3qhCHpwMQ7JH2pO5gy2ga3sXHfhtAWYYFqyVgUaE0XxTw=mo,"decent selection of music, but the app lies. it constantly promises to give 30 minutes of ad-free listening and then doesn't deliver. many times, I let an ad play in order to get 30 minutes free, but then the app plays two songs and hits me with an ad. this is either a stupid glitch or a cynically deceptive practice. I'm looking elsewhere to get mobile music.",1,518,9.0.36.697,2025-04-25 08:14:14,,,9.0.36.697,2025-05-15 16:00:51
ae2f4c35-8e7f-42d1-81ff-bd7544a9e2bc,Charles Roberts,https://play-lh.googleusercontent.com/a/ACg8ocInSJT1GJ4Sr977I3Ju8LerTjJS19zBC03XAgWNYkZZOGiybQ=mo,"two issues: switching on and off from offline mode used to be very easy and no hassle. Now they buried it in the settings menu, making it hard to do when traveling, and somehow, it takes longer to load your downloaded library than your online library. You pay for spotify premium to get rid of ads, yet they still add ads some some podcasts outside of the sponsorship ads podcasts run. I understand not being able to fix the podcast sponsorship ads. out of characters, but I could complain more.",1,238,9.0.36.697,2025-04-24 03:16:40,,,9.0.36.697,2025-05-15 16:00:51
63a6de53-7d1d-44e3-827a-b614b0cc1659,J T,https://play-lh.googleusercontent.com/a/ACg8ocKjzKyHT6PBmw7nX79kMvp77L_uNXk4FwhmonWH60UTwY0DwQ=mo,"Even if you pay you have to put this in offline mode, or it'll use your data on downloaded songs and lately it's been moving back to the top of my Playlist no matter how many times I go down to where it was at if I lock my screen or anything which is very annoying. Just updated it, and it's still doing it. if it doesn't stop going to switch to YouTube music",1,116,9.0.40.391,2025-05-03 13:28:17,"Hi. We're open to feedback, and we'd love to get some more info about this. If you have the time, give our Customer Service a shout. You can find them by heading to http://support.spotify.com and searching ""Contact us"".",2025-05-03 13:42:09,9.0.40.391,2025-05-15 16:00:51
87ab6fd3-665e-4563-8326-b9ce5fa9a140,Chris Klassen,https://play-lh.googleusercontent.com/a-/ALV-UjWuJHGpdkwmmxLdgtk1nLnX-g-cAVTiLfCJXkbO7tJTxci0q94,"SHUFFLE absolutely SUCKS. Playing the same exact (out of 800tracks over and over again in a single sitting. The latest update with the new ""+/create"" option on the right of the bottom navigation bar is just so utterly pointless and just adds to the clutter of options we already had there :( And also please stop reminding me (with the floating, white pop up box over the play bar) everytime I start playing music that I can ""connect to a device"". I've had this app for years and know how to do so.",2,5,9.0.42.529,2025-05-10 06:01:51,"Hi! We’d recommend restarting your device to see if that makes any difference. If that doesn’t help, you can get in touch with our Customer Service by heading to support.spotify.com and searching ""Contact us"".",2023-04-25 11:32:45,9.0.42.529,2025-05-15 16:00:51
a7e0c1ac-8801-40ae-a6b0-021f15298bc8,Kyle Potter,https://play-lh.googleusercontent.com/a-/ALV-UjU-R47YOxEwlEhjrQZ13ddLrpKuGd8769sB61hZb6C7LNvLCej3,"Shuffle is BROKEN. I like to shuffle my 'liked' songs at random, but lately it has been cycling through a small portion of those songs, even playing them in the same order as before. Repeat/loop is off. I've cleared my cache multiple times. I've reinstalled the app. What now?... Also, please stop with the ""share"" pop-up when taking a screenshot. Seriously.",1,159,9.0.36.697,2025-04-28 02:18:55,"Hello! Thanks for this suggestion. To help us get your idea heard, it’d be awesome if you could add it to our ideas board: https://community.spotify.com/t5/Ideas/ct-p/newideas. Our product teams regularly look at this board and many great features have been developed from it. We hope this helps.",2024-10-14 04:17:58,9.0.36.697,2025-05-15 16:00:51
c33d27af-f530-4cb0-ac7b-d572f861f8ab,William B,https://play-lh.googleusercontent.com/a-/ALV-UjV23gJv8tk_CuE30zB-qnIp_5vuS8Bm0XOk-IwetGyyHC1E_i4,"Update: My songs aren't correctly loading in if they are liked or what playlists they are on. I love Spotify, though I have premium and would not be able to go back to ads. It is definitely worth it to choose which songs I want to play, queue up music, and have jams. I would like to see a feature to hide artists I follow under ""your library,"" just to clean it up. I never look at there music there, it just makes me scroll further to playlists after I follow them.",3,74,9.0.36.697,2025-04-30 05:15:00,,,9.0.36.697,2025-05-15 16:00:51
53cf06fe-0532-461d-9dfd-bb36edc0974c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"While you cannot beat the sheer library of content, Spotify has really dropped the ball lately with a few things. One, allowing podcasts to play in-conversation advertising kind of defeats the purpose of paying for premium to not hear ads. The AI DJ repeatedly plays the same songs over and over ad nauseum. Lastly, when are we finally going to get lossless or HD audio?? If those three things were addressed, this would be a 5 and no other platform would come close.",3,87,9.0.36.697,2025-05-02 13:22:47,,,9.0.36.697,2025-05-15 16:00:51
15db895e-a44e-48b7-9507-20ae4b11601d,Jonathan Clark,https://play-lh.googleusercontent.com/a/ACg8ocLeWTqNT4V8TW5dkXX8-idTftZD5606DppBmYmmF-hQy5-Aag=mo,"The app has a great music selection and quality. I'm disappointed at how difficult it is to find the queue at times, it is sometimes impossible to see. This is a fundamental function of a music player and should always be available. After recent update it constantly shows a notification about Spotify connections, which i have turned off. overall i like the service but the app has many annoying or weak features. Recently the app has recently had more trouble between albums and on searches, it ....",4,194,9.0.36.697,2025-05-02 20:20:08,,,9.0.36.697,2025-05-15 16:00:51
